iter	Logloss
0	0.6701453272
1	0.646721133
2	0.6284099852
3	0.6087835341
4	0.5882003505
5	0.5712770872
6	0.5524176961
7	0.5355958576
8	0.5200285878
9	0.5054439325
10	0.489411731
11	0.4764657108
12	0.4642023658
13	0.4510952162
14	0.4381538745
15	0.4262645094
16	0.4159096934
17	0.4052808201
18	0.3976356302
19	0.3890578301
20	0.3811747233
21	0.3714287137
22	0.361219103
23	0.3531757038
24	0.3455288186
25	0.3392319391
26	0.3330611217
27	0.3254106524
28	0.3215928433
29	0.3160724023
30	0.3109823621
31	0.3073824897
32	0.3017822137
33	0.2985168114
34	0.2929448853
35	0.2883156134
36	0.2828239945
37	0.2773342642
38	0.2734881051
39	0.2693075403
40	0.2656018436
41	0.2625151472
42	0.2585911275
43	0.2553244375
44	0.2510494871
45	0.248357695
46	0.2453019669
47	0.2407364342
48	0.2375346209
49	0.2334914067
50	0.2305787807
51	0.2281805755
52	0.2263669257
53	0.2241202138
54	0.2216702661
55	0.2191865602
56	0.2179121186
57	0.2150841779
58	0.2134929931
59	0.2111394697
60	0.2086438314
61	0.2061082113
62	0.2041415229
63	0.2021648337
64	0.2002096485
65	0.1987329797
66	0.1964089223
67	0.19531059
68	0.1931738444
69	0.1912007821
70	0.1898758214
71	0.1875018027
72	0.1861386842
73	0.1848020487
74	0.1824482892
75	0.180723252
76	0.1785510314
77	0.1770986243
78	0.1755277953
79	0.1746530761
80	0.173083685
81	0.1720747485
82	0.1710888826
83	0.1702390046
84	0.168870435
85	0.1673990456
86	0.1657679433
87	0.1648562038
88	0.1634496804
89	0.1624999979
90	0.1612695192
91	0.1601643623
92	0.159414793
93	0.1587900733
94	0.1580646585
95	0.1566789093
96	0.1553496349
97	0.1540763522
98	0.1530831574
99	0.1521333139
100	0.1508452768
101	0.1502694346
102	0.1493255894
103	0.1485782414
104	0.1475583384
105	0.1461747782
106	0.1454965133
107	0.1446132204
108	0.1434321772
109	0.142658518
110	0.1421066477
111	0.1411820209
112	0.1403083426
113	0.1398330023
114	0.1392415794
115	0.1386564874
116	0.1372986269
117	0.1367955375
118	0.1359879055
119	0.1356643162
120	0.1350825936
121	0.1346418485
122	0.1339669959
123	0.1331638814
124	0.132340851
125	0.1316960331
126	0.1308955476
127	0.1304074058
128	0.1297566861
129	0.1290717145
130	0.128081814
