iter	Passed	Remaining
0	4	4488
1	8	4088
2	11	3772
3	14	3555
4	17	3482
5	20	3402
6	23	3344
7	26	3306
8	29	3261
9	32	3216
10	35	3205
11	38	3194
12	42	3199
13	45	3179
14	48	3184
15	51	3159
16	54	3153
17	57	3135
18	60	3119
19	63	3101
20	66	3090
21	69	3074
22	71	3056
23	74	3036
24	77	3028
25	80	3007
26	83	3000
27	85	2981
28	88	2971
29	91	2954
30	94	2944
31	97	2935
32	100	2947
33	103	2932
34	106	2928
35	108	2915
36	112	2917
37	114	2905
38	117	2905
39	120	2895
40	123	2895
41	126	2889
42	129	2889
43	132	2879
44	135	2880
45	138	2877
46	141	2876
47	144	2868
48	147	2866
49	150	2860
50	153	2861
51	156	2861
52	160	2859
53	162	2854
54	167	2871
55	171	2884
56	174	2883
57	177	2886
58	181	2897
59	185	2902
60	189	2910
61	192	2911
62	196	2916
63	199	2919
64	203	2927
65	207	2932
66	210	2937
67	214	2936
68	217	2937
69	220	2934
70	224	2932
71	227	2934
72	230	2932
73	235	2941
74	238	2940
75	241	2939
76	245	2940
77	248	2935
78	251	2936
79	255	2933
80	258	2933
81	261	2928
82	264	2926
83	268	2925
84	271	2923
85	274	2920
86	277	2912
87	280	2907
88	283	2900
89	286	2894
90	288	2886
91	292	2883
92	294	2875
93	297	2870
94	300	2864
95	303	2860
96	306	2853
97	309	2849
98	312	2841
99	315	2839
100	318	2831
101	321	2832
102	324	2827
103	328	2826
104	331	2821
105	333	2815
106	336	2808
107	339	2805
108	342	2801
109	345	2798
110	349	2797
111	352	2792
112	355	2790
113	358	2787
114	362	2787
115	365	2784
116	368	2781
117	371	2777
118	374	2775
119	378	2772
120	381	2768
121	383	2763
122	387	2761
123	390	2759
124	394	2761
125	398	2764
126	401	2763
127	405	2759
128	408	2760
129	412	2757
130	415	2756
131	418	2754
132	422	2751
133	425	2750
134	428	2744
135	431	2743
136	434	2737
137	438	2736
138	441	2733
139	444	2729
140	447	2728
141	451	2725
142	454	2721
143	456	2716
144	460	2712
145	462	2707
146	466	2704
147	469	2700
148	472	2697
149	475	2692
150	478	2690
151	481	2684
152	484	2684
153	487	2680
154	490	2676
155	494	2673
156	497	2669
157	500	2668
158	504	2667
159	507	2666
160	511	2663
161	514	2662
162	517	2659
163	522	2661
164	525	2660
165	528	2657
166	532	2655
167	536	2656
168	539	2654
169	543	2651
170	547	2655
171	551	2655
172	555	2653
173	559	2655
174	562	2653
175	566	2651
176	569	2648
177	572	2645
178	576	2643
179	579	2639
180	582	2637
181	585	2632
182	589	2630
183	592	2628
184	596	2625
185	599	2624
186	602	2619
187	606	2618
188	609	2614
189	612	2611
190	615	2608
191	619	2606
192	622	2603
193	625	2599
194	629	2597
195	632	2593
196	636	2593
197	639	2590
198	642	2587
199	646	2585
200	649	2582
201	653	2580
202	656	2576
203	659	2573
204	662	2568
205	665	2564
206	668	2562
207	672	2559
208	675	2556
209	678	2551
210	681	2547
211	683	2542
212	687	2539
213	689	2534
214	693	2531
215	696	2528
216	699	2524
217	702	2519
218	705	2516
219	709	2514
220	712	2511
221	715	2508
222	718	2504
223	722	2501
224	725	2499
225	728	2495
226	731	2491
227	735	2489
228	738	2485
229	741	2482
230	744	2480
231	748	2476
232	751	2472
